id_vict,x,y,tri
406,47,9,1
407,47,11,2
378,47,13,3
330,35,30,1
312,27,40,2
311,27,39,3
316,28,38,1
307,25,40,1
315,28,37,0
327,34,30,3
202,0,34,2
203,0,43,2
183,-9,47,0
182,-9,44,0
186,-8,44,3
161,-21,43,2
170,-14,42,3
199,-1,42,2
158,-23,40,2
169,-15,40,2
166,-17,39,3
143,-29,38,1
160,-22,38,2
165,-18,38,1
191,-7,38,3
198,-1,38,3
162,-21,37,1
164,-18,37,1
136,-32,36,0
171,-13,35,0
135,-34,34,2
139,-31,34,0
181,-9,34,2
140,-30,33,2
148,-28,32,0
154,-25,31,2
134,-34,30,2
142,-29,30,3
159,-22,29,1
205,2,-46,0
236,15,-45,1
232,14,-45,2
240,17,-44,0
237,15,-44,3
233,14,-44,1
206,3,-44,2
238,15,-43,1
204,1,-43,0
241,17,-42,0
239,15,-42,3
234,14,-42,3
211,5,-42,0
243,18,-41,3
235,14,-41,3
207,3,-41,2
244,18,-40,2
242,17,-40,0
231,13,-40,2
213,6,-39,3
252,23,-38,0
214,7,-38,3
256,24,-37,0
220,9,-37,1
277,31,-25,2
279,32,-28,2
286,36,-28,0
282,33,-28,2
284,35,-27,1
267,27,-23,1
271,28,-22,0
264,27,-22,3
260,26,-22,2
281,32,-19,1
